drugbank_id	atc
DB00345	V04CH30
DB00346	G04CA01
DB00346	G04CA51
DB00347	N03AC02
DB00348	A16AX04
DB00349	N05BA09
DB00350	D11AX01
DB00350	C02DC01
DB00351	G03FB04
DB00351	G03DB02
DB00351	G03FA08
DB00351	G03AC05
DB00351	L02AB01
DB00351	G03AA04
DB00351	G03AB01
DB00352	L01BB03
DB00353	G02AC01
DB00353	G02AB01
DB00354	R06AE51
DB00354	R06AE01
DB00355	J01DF01
DB00356	M03BB03
DB00356	M03BB53
DB00356	M03BB73
DB00357	L02BG01
DB00358	P01BF02
DB00358	P01BC02
DB00359	J01EE06
DB00359	J01EC02
DB00359	G01AE10
DB00359	J01EE02
DB00360	A16AX07
DB00361	L01CA04
DB00362	J02AX06
DB00363	N05AH02
DB00364	A02BX02
DB00365	J01MA11
DB00366	R06AA09
DB00366	R06AA59
DB00367	G03AB03
DB00367	G03AD01
DB00367	G03AC03
DB00367	G03FB09
DB00367	G03AA07
DB00367	G03FA11
DB00368	C01CA03
DB00369	J05AB12
DB00370	N06AX11
DB00371	N05BC51
DB00371	N05CX01
DB00371	N05BC01
DB00372	R06AD03
DB00373	C07AA06
DB00373	S01ED51
DB00373	C07BA06
DB00373	C07DA06
DB00373	S01ED01
DB00374	B01AC21
DB00375	C10AC02
DB00376	N04AA01
DB00377	A04AA55
DB00377	A04AA05
DB00378	G03FA14
DB00378	G03DB01
DB00378	G03FB08
DB00379	C01BB02
DB00380	V03AF02
DB00381	C09XA54
DB00381	C10BX07
DB00381	C09BB03
DB00381	C09BB04
DB00381	C07FB07
DB00381	C09DB06
DB00381	C10BX18
DB00381	C07FB12
DB00381	C09DB05
DB00381	C09XA53
DB00381	C10BX03
DB00381	C07FB13
DB00381	C08CA01
DB00381	C09BX04
DB00381	C09BX03
DB00381	C09DB04
DB00381	C09DX03
DB00381	C08GA02
DB00381	C09DB07
DB00381	C09DX06
DB00381	C09BX01
DB00381	C10BX11
DB00381	C09DB02
DB00381	C10BX09
DB00381	C08CA51
DB00381	C09DX01
DB00381	C09DB09
DB00381	C09DB01
