ensembl_id	uniprotkb_id	gene_names	is_known_drug_tgt	is_disease_associated
ENSP00000417330	Q6L8G8	KAP5.3	False	False
ENSP00000417330	Q6L8G8	KRTAP5.3	False	False
ENSP00000417330	Q6L8G8	KRTAP5.7	False	False
ENSP00000417335	Q9HCK4	ROBO2	False	True
ENSP00000417335	Q9HCK4	KIAA1568	False	True
ENSP00000417354	O00461	GOLIM4	False	True
ENSP00000417354	O00461	GIMPC	False	True
ENSP00000417354	O00461	GOLPH4	False	True
ENSP00000417354	O00461	GPP130	False	True
ENSP00000417401	Q9BYK8	HELZ2	False	True
ENSP00000417401	Q9BYK8	KIAA1769	False	True
ENSP00000417401	Q9BYK8	PRIC285	False	True
ENSP00000417404	Q30201	HFE	False	True
ENSP00000417404	Q30201	HLAH	False	True
ENSP00000417418	Q8NHS0	DNAJB8	False	True
ENSP00000417451	Q8N7X1	RBMXL3	False	False
ENSP00000417451	Q8N7X1	CXorf55	False	False
ENSP00000417464	P56182	RRP1	False	True
ENSP00000417464	P56182	D21S2056E	False	True
ENSP00000417464	P56182	NNP1	False	True
ENSP00000417464	P56182	NOP52	False	True
ENSP00000417464	P56182	RRP1A	False	True
ENSP00000417470	Q8N393	ZNF786	False	True
ENSP00000417480	P49789	FHIT	False	True
ENSP00000417492	Q9BXM9	FSD1L	False	True
ENSP00000417492	Q9BXM9	CCDC10	False	True
ENSP00000417492	Q9BXM9	CSDUFD1	False	True
ENSP00000417492	Q9BXM9	FSD1CL	False	True
ENSP00000417492	Q9BXM9	FSD1NL	False	True
ENSP00000417498	Q99102	MUC4	False	True
ENSP00000417509	Q9UK61	TASOR	False	True
ENSP00000417509	Q9UK61	C3orf63	False	True
ENSP00000417509	Q9UK61	FAM208A	False	True
ENSP00000417509	Q9UK61	KIAA1105	False	True
ENSP00000417510	R4GND2	SUPT20H	False	False
ENSP00000417517	H0Y858	H0Y858	False	False
ENSP00000417518	O75122	CLASP2	False	True
ENSP00000417518	O75122	KIAA0627	False	True
ENSP00000417548	Q6P3W2	DNAJC24	False	True
ENSP00000417548	Q6P3W2	DPH4	False	True
ENSP00000417548	Q6P3W2	ZCSL3	False	True
ENSP00000417556	H7C4K7	H7C4K7	False	False
ENSP00000417569	Q9P246	STIM2	False	True
ENSP00000417569	Q9P246	KIAA1482	False	True
ENSP00000417573	Q96EC8	YIPF6	False	True
ENSP00000417580	Q2TAA2	IAH1	False	True
ENSP00000417581	Q6PEV8	FAM199X	False	False
ENSP00000417581	Q6PEV8	CXorf39	False	False
ENSP00000417583	Q9BVH7	ST6GALNAC5	False	True
ENSP00000417583	Q9BVH7	SIAT7E	False	True
ENSP00000417601	Q9UKC9	FBXL2	False	True
ENSP00000417601	Q9UKC9	FBL2	False	True
ENSP00000417601	Q9UKC9	FBL3	False	True
ENSP00000417602	Q9HD33	MRPL47	False	True
ENSP00000417602	Q9HD33	NCM1	False	True
ENSP00000417602	Q9HD33	CGI-204	False	True
ENSP00000417604	A0A2U3TZT1	SMIM29	False	False
ENSP00000417610	Q9ULC3	RAB23	False	True
ENSP00000417610	Q9ULC3	HSPC137	False	True
ENSP00000417626	Q96HP8	TMEM176A	False	True
ENSP00000417626	Q96HP8	HCA112	False	True
ENSP00000417638	Q96RN1	SLC26A8	False	True
ENSP00000417638	Q96RN1	TAT1	False	True
ENSP00000417653	Q9UJU6	DBNL	False	True
ENSP00000417653	Q9UJU6	CMAP	False	True
ENSP00000417653	Q9UJU6	SH3P7	False	True
ENSP00000417653	Q9UJU6	PP5423	False	True
ENSP00000417654	Q9BS91	SLC35A5	False	True
ENSP00000417654	Q9BS91	UNQ164/PRO190	False	True
ENSP00000417656	P24311	COX7B	False	True
ENSP00000417658	Q3KNS1	PTCHD3	False	True
ENSP00000417658	Q3KNS1	PTR	False	True
ENSP00000417659	Q5SGD2	PPM1L	False	True
ENSP00000417659	Q5SGD2	PP2CE	False	True
ENSP00000417677	Q8IWT0	ZBTB8OS	False	True
ENSP00000417677	Q8IWT0	ARCH	False	True
ENSP00000417686	Q14493	SLBP	False	True
ENSP00000417686	Q14493	HBP	False	True
ENSP00000417696	Q8N782	ZNF525	False	False
ENSP00000417696	Q8N782	KIAA1979	False	False
ENSP00000417706	Q6PH85	DCUN1D2	False	True
ENSP00000417706	Q6PH85	C13orf17	False	True
ENSP00000417706	Q6PH85	DCUN1L2	False	True
ENSP00000417710	Q7Z7J5	DPPA2	False	True
ENSP00000417710	Q7Z7J5	PESCRG1	False	True
ENSP00000417711	Q6ZU69	SPATA31F1	False	False
ENSP00000417711	Q6ZU69	C9orf144B	False	False
ENSP00000417711	Q6ZU69	FAM205A	False	False
ENSP00000417748	Q5TDH0	DDI2	False	True
ENSP00000417763	P41227	NAA10	False	True
ENSP00000417763	P41227	ARD1	False	True
ENSP00000417763	P41227	ARD1A	False	True
ENSP00000417763	P41227	TE2	False	True
ENSP00000417764	Q9H553	ALG2	False	True
ENSP00000417764	Q9H553	UNQ666/PRO1298	False	True
ENSP00000417769	Q8NA54	IQUB	False	True
ENSP00000417806	Q8WVI0	UQCC5	False	True
ENSP00000417806	Q8WVI0	SMIM4	False	True
ENSP00000417806	Q8WVI0	C3orf78	False	True
ENSP00000417864	P39687	ANP32A	False	True
ENSP00000417864	P39687	C15orf1	False	True
ENSP00000417864	P39687	LANP	False	True
ENSP00000417864	P39687	MAPM	False	True
ENSP00000417864	P39687	PHAP1	False	True
ENSP00000417898	P09466	PAEP	False	True
ENSP00000417901	Q9NQX3	GPHN	False	True
ENSP00000417901	Q9NQX3	GPH	False	True
ENSP00000417901	Q9NQX3	KIAA1385	False	True
ENSP00000417914	Q8WXH4	ASB11	False	True
ENSP00000417919	Q8N831	TSPYL6	False	True
ENSP00000417955	Q502W6	VWA3B	False	True
ENSP00000417963	Q14738	PPP2R5D	False	True
ENSP00000417980	Q9H9B1	EHMT1	False	True
ENSP00000417980	Q9H9B1	EUHMTASE1	False	True
ENSP00000417980	Q9H9B1	GLP	False	True
ENSP00000417980	Q9H9B1	KIAA1876	False	True
ENSP00000417980	Q9H9B1	KMT1D	False	True
ENSP00000418001	Q6ZS86	GK5	False	True
ENSP00000418008	P82650	MRPS22	False	True
ENSP00000418008	P82650	C3orf5	False	True
ENSP00000418008	P82650	RPMS22	False	True
ENSP00000418008	P82650	GK002	False	True
ENSP00000418009	Q99969	RARRES2	False	True
ENSP00000418009	Q99969	TIG2	False	True
ENSP00000418018	Q86WN2	IFNE	False	True
ENSP00000418018	Q86WN2	IFNE1	False	True
ENSP00000418018	Q86WN2	UNQ360/PRO655	False	True
ENSP00000418070	Q9NQS3	NECTIN3	False	True
ENSP00000418070	Q9NQS3	PRR3	False	True
ENSP00000418070	Q9NQS3	PVRL3	False	True
ENSP00000418081	Q9NY47	CACNA2D2	True	True
ENSP00000418081	Q9NY47	KIAA0558	True	True
ENSP00000418082	P61513	RPL37A	False	True
ENSP00000418086	Q9HBI5	C3orf14	False	False
ENSP00000418086	Q9HBI5	HT021	False	False
ENSP00000418112	P23470	PTPRG	False	True
ENSP00000418112	P23470	PTPG	False	True
ENSP00000418187	Q9BY31	ZNF717	False	False
ENSP00000418193	Q96RM1	SPRR2F	False	True
ENSP00000418194	Q460N5	PARP14	False	True
ENSP00000418194	Q460N5	BAL2	False	True
ENSP00000418194	Q460N5	KIAA1268	False	True
ENSP00000418221	Q6DKI1	RPL7L1	False	False
ENSP00000418259	A0A140T983	ZFP57	False	False
ENSP00000418268	Q7L590	MCM10	False	True
ENSP00000418268	Q7L590	PRO2249	False	True
ENSP00000418287	O76071	CIAO1	False	True
ENSP00000418287	O76071	CIA1	False	True
ENSP00000418287	O76071	WDR39	False	True
ENSP00000418348	Q7Z7K0	CMC1	False	True
ENSP00000418348	Q7Z7K0	C3orf68	False	True
ENSP00000418379	Q8IZX4	TAF1L	False	True
ENSP00000418397	P26440	IVD	False	True
ENSP00000418401	Q9Y5M8	SRPRB	False	True
ENSP00000418401	Q9Y5M8	PSEC0230	False	True
ENSP00000418428	Q8WYQ3	CHCHD10	False	True
ENSP00000418428	Q8WYQ3	C22orf16	False	True
ENSP00000418438	O95167	NDUFA3	False	True
ENSP00000418447	P67775	PPP2CA	False	True
ENSP00000418491	E9PRR3	LCN10	False	False
ENSP00000418525	P08473	MME	True	True
ENSP00000418525	P08473	EPN	True	True
ENSP00000418529	Q9UNZ2	NSFL1C	False	True
ENSP00000418529	Q9UNZ2	UBXN2C	False	True
ENSP00000418532	P35503	UGT1A3	False	True
ENSP00000418532	P35503	GNT1	False	True
ENSP00000418532	P35503	UGT1	False	True
ENSP00000418563	O15042	U2SURP	False	True
ENSP00000418563	O15042	KIAA0332	False	True
ENSP00000418563	O15042	SR140	False	True
ENSP00000418575	Q7Z5A9	TAFA1	False	True
ENSP00000418575	Q7Z5A9	FAM19A1	False	True
ENSP00000418593	Q969T3	SNX21	False	False
ENSP00000418593	Q969T3	C20orf161	False	False
ENSP00000418593	Q969T3	SNXL	False	False
ENSP00000418648	Q6ZU65	UBN2	False	False
ENSP00000418648	Q6ZU65	KIAA2030	False	False
ENSP00000418661	Q86Y79	PTRH1	False	True
ENSP00000418661	Q86Y79	C9orf115	False	True
ENSP00000418663	Q9BWV1	BOC	False	True
ENSP00000418663	Q9BWV1	UNQ604/PRO1190	False	True
ENSP00000418668	Q5BKX8	CAVIN4	False	True
ENSP00000418668	Q5BKX8	MURC	False	True
ENSP00000418669	Q99611	SEPHS2	False	True
ENSP00000418669	Q99611	SPS2	False	True
ENSP00000418678	A6NFE3	EFCAB10	False	False
ENSP00000418693	P57060	RWDD2B	False	True
ENSP00000418693	P57060	C21orf6	False	True
ENSP00000418693	P57060	GL011	False	True
ENSP00000418695	C9J0E9	PSMD6	False	False
ENSP00000418719	Q14593	ZNF273	False	True
ENSP00000418721	Q9UJV8	PURG	False	True
ENSP00000418734	Q5VVJ2	MYSM1	False	True
ENSP00000418734	Q5VVJ2	KIAA1915	False	True
ENSP00000418735	Q9P2N4	ADAMTS9	False	True
ENSP00000418735	Q9P2N4	KIAA1312	False	True
ENSP00000418748	Q9H6T0	ESRP2	False	True
ENSP00000418748	Q9H6T0	RBM35B	False	True
ENSP00000418748	Q9H6T0	PP7059	False	True
ENSP00000418751	Q96Q07	BTBD9	False	True
ENSP00000418751	Q96Q07	KIAA1880	False	True
ENSP00000418754	Q13308	PTK7	False	True
ENSP00000418754	Q13308	CCK4	False	True
ENSP00000418767	Q5T2D2	TREML2	False	True
ENSP00000418767	Q5T2D2	C6orf76	False	True
ENSP00000418767	Q5T2D2	TLT2	False	True
ENSP00000418767	Q5T2D2	UNQ6268/PRO20473	False	True
ENSP00000418770	Q99497	PARK7	False	True
ENSP00000418803	Q9NPL8	TIMMDC1	False	True
ENSP00000418803	Q9NPL8	C3orf1	False	True
ENSP00000418803	Q9NPL8	UNQ247/PRO284	False	True
ENSP00000418813	Q9Y6D0	SELENOK	False	True
ENSP00000418813	Q9Y6D0	SELK	False	True
ENSP00000418813	Q9Y6D0	HSPC030	False	True
ENSP00000418813	Q9Y6D0	HSPC297	False	True
ENSP00000418823	Q9C0B1	FTO	True	True
ENSP00000418823	Q9C0B1	KIAA1752	True	True
ENSP00000418842	P56556	NDUFA6	False	True
ENSP00000418842	P56556	LYRM6	False	True
ENSP00000418842	P56556	NADHB14	False	True
ENSP00000418868	P47914	RPL29	False	True
ENSP00000418875	Q9UI38	PRSS50	False	True
ENSP00000418875	Q9UI38	CT20	False	True
ENSP00000418875	Q9UI38	TSP50	False	True
ENSP00000418910	P62341	SELENOT	False	True
ENSP00000418910	P62341	SELT	False	True
ENSP00000418910	P62341	UNQ150/PRO176	False	True
ENSP00000418915	P42771	CDKN2A	False	True
ENSP00000418915	P42771	CDKN2	False	True
ENSP00000418915	P42771	MTS1	False	True
ENSP00000418944	Q86TG7	PEG10	False	True
ENSP00000418944	Q86TG7	EDR	False	True
ENSP00000418944	Q86TG7	KIAA1051e	False	True
ENSP00000418944	Q86TG7	MAR2	False	True
ENSP00000418944	Q86TG7	MART2	False	True
ENSP00000418944	Q86TG7	MEF3L1	False	True
ENSP00000418944	Q86TG7	RGAG3	False	True
ENSP00000418960	P38398	BRCA1	False	True
ENSP00000418960	P38398	RNF53	False	True
ENSP00000418983	P0C671	BNIP5	False	False
ENSP00000418983	P0C671	C6orf222	False	False
ENSP00000418994	Q8TBG9	SYNPR	False	True
ENSP00000419000	Q13449	LSAMP	False	True
ENSP00000419000	Q13449	IGLON3	False	True
ENSP00000419000	Q13449	LAMP	False	True
ENSP00000419004	Q96D46	NMD3	False	True
ENSP00000419004	Q96D46	CGI-07	False	True
ENSP00000419005	Q68CQ4	UTP25	False	True
ENSP00000419005	Q68CQ4	C1orf107	False	True
ENSP00000419005	Q68CQ4	DEF	False	True
ENSP00000419005	Q68CQ4	DIEXF	False	True
ENSP00000419027	P05166	PCCB	True	True
ENSP00000419038	Q96RP9	GFM1	False	True
ENSP00000419038	Q96RP9	EFG	False	True
ENSP00000419038	Q96RP9	EFG1	False	True
ENSP00000419038	Q96RP9	GFM	False	True
ENSP00000419045	P30793	GCH1	True	True
ENSP00000419045	P30793	DYT5	True	True
ENSP00000419045	P30793	GCH	True	True
ENSP00000419081	Q96GE6	CALML4	False	False
ENSP00000419085	Q495A1	TIGIT	False	True
ENSP00000419085	Q495A1	VSIG9	False	True
ENSP00000419085	Q495A1	VSTM3	False	True
ENSP00000419087	O95178	NDUFB2	False	True
ENSP00000419088	Q96A26	FAM162A	False	True
ENSP00000419088	Q96A26	C3orf28	False	True
ENSP00000419088	Q96A26	E2IG5	False	True
ENSP00000419088	Q96A26	DC16	False	True
ENSP00000419088	Q96A26	FWP001	False	True
ENSP00000419101	Q8IZS8	CACNA2D3	True	True
ENSP00000419117	P18077	RPL35A	False	True
