source	dst
DB00014	DB09570
DB00014	DB11901
DB00014	DB00982
DB00014	DB00571
DB00014	DB00515
DB00014	DB00642
DB00014	DB06370
DB00014	DB00331
DB00014	DB11986
DB00014	DB00016
DB00014	DB16390
DB00014	DB11697
DB00016	DB00531
DB00016	DB00361
DB00016	DB00541
DB00016	DB00570
DB00016	DB00480
DB00016	DB01041
DB00016	DB08910
DB00016	DB00002
DB00016	DB00007
DB00016	DB00008
DB00016	DB00014
DB00016	DB00041
DB00016	DB00056
DB00016	DB00059
DB00016	DB00072
DB00016	DB00073
DB00016	DB00087
DB00016	DB00104
DB00016	DB00105
DB00016	DB00112
DB00016	DB00188
DB00016	DB00242
DB00016	DB00262
DB00016	DB00282
DB00016	DB00290
DB00016	DB00291
DB00016	DB00293
DB00016	DB00305
DB00016	DB00307
DB00016	DB00313
DB00016	DB00317
DB00016	DB00322
DB00016	DB00351
DB00016	DB00352
DB00016	DB00385
DB00016	DB00398
DB00016	DB00428
DB00016	DB00432
DB00016	DB00441
DB00016	DB00444
DB00016	DB00445
DB00016	DB00499
DB00016	DB00515
DB00016	DB00526
DB00016	DB00530
DB00016	DB00539
DB00016	DB00544
DB00016	DB00563
DB00016	DB00619
DB00016	DB00631
DB00016	DB00635
DB00016	DB00642
DB00016	DB00648
DB00016	DB00665
DB00016	DB00675
DB00016	DB00694
DB00016	DB00755
DB00016	DB00762
DB00016	DB00773
DB00016	DB00851
DB00016	DB00853
DB00016	DB00928
DB00016	DB00947
DB00016	DB00958
DB00016	DB00959
DB00016	DB00970
DB00016	DB00987
DB00016	DB00990
DB00016	DB00997
DB00016	DB01005
DB00016	DB01006
DB00016	DB01008
DB00016	DB01030
DB00016	DB01033
DB00016	DB01042
DB00016	DB01073
DB00016	DB01101
DB00016	DB01128
DB00016	DB01168
DB00016	DB01169
DB00016	DB01181
DB00016	DB01204
DB00016	DB01206
DB00016	DB01217
DB00016	DB01229
DB00016	DB01234
DB00016	DB01248
DB00016	DB01254
DB00016	DB01259
DB00016	DB01262
DB00016	DB01268
DB00016	DB01269
DB00016	DB01280
DB00016	DB01590
DB00016	DB02546
DB00016	DB03010
DB00016	DB03496
DB00016	DB04106
DB00016	DB04572
DB00016	DB04690
DB00016	DB04845
DB00016	DB04849
DB00016	DB04865
DB00016	DB04868
DB00016	DB04960
DB00016	DB05015
DB00016	DB05109
DB00016	DB05239
DB00016	DB05294
DB00016	DB05424
DB00016	DB05482
DB00016	DB05524
DB00016	DB05812
DB00016	DB05889
DB00016	DB06040
DB00016	DB06176
DB00016	DB06186
DB00016	DB06195
DB00016	DB06233
DB00016	DB06287
DB00016	DB06317
DB00016	DB06366
DB00016	DB06370
DB00016	DB06589
DB00016	DB06595
DB00016	DB06603
DB00016	DB06616
DB00016	DB06626
DB00016	DB06650
DB00016	DB06699
DB00016	DB06719
DB00016	DB06769
DB00016	DB06772
DB00016	DB06791
DB00016	DB06813
DB00016	DB06825
DB00016	DB07232
DB00016	DB08828
DB00016	DB08865
DB00016	DB08871
DB00016	DB08875
DB00016	DB08877
DB00016	DB08881
DB00016	DB08889
DB00016	DB08896
DB00016	DB08899
DB00016	DB08901
DB00016	DB08911
DB00016	DB08912
DB00016	DB08913
DB00016	DB08916
DB00016	DB08935
DB00016	DB09035
DB00016	DB09036
DB00016	DB09037
DB00016	DB09052
DB00016	DB09053
DB00016	DB09054
DB00016	DB09063
DB00016	DB09073
DB00016	DB09074
DB00016	DB09077
DB00016	DB09078
DB00016	DB09079
DB00016	DB09143
DB00016	DB09256
DB00016	DB09330
DB00016	DB09559
DB00016	DB09570
DB00016	DB11363
DB00016	DB11526
DB00016	DB11581
DB00016	DB11651
DB00016	DB11678
DB00016	DB11718
DB00016	DB11730
DB00016	DB11752
DB00016	DB11760
DB00016	DB11793
DB00016	DB11800
DB00016	DB11805
DB00016	DB11828
DB00016	DB11841
DB00016	DB11886
DB00016	DB11901
DB00016	DB11919
DB00016	DB11945
DB00016	DB11963
DB00016	DB11967
DB00016	DB11978
DB00016	DB11986
DB00016	DB12001
DB00016	DB12015
DB00016	DB12025
DB00016	DB12085
DB00016	DB12108
DB00016	DB12130
DB00016	DB12141
DB00016	DB12146
DB00016	DB12147
DB00016	DB12174
DB00016	DB12257
DB00016	DB12267
DB00016	DB12332
DB00016	DB12340
DB00016	DB12376
DB00016	DB12947
DB00016	DB12948
DB00016	DB12978
DB00016	DB13069
DB00016	DB13874
DB00016	DB14568
DB00016	DB14723
DB00016	DB14792
DB00016	DB14865
DB00016	DB14951
DB00016	DB15035
DB00016	DB15102
DB00016	DB11791
DB00016	DB15685
DB00016	DB15822
DB00016	DB11942
DB00016	DB12500
DB00016	DB11652
DB00016	DB12941
DB00016	DB15133
DB00016	DB04297
DB00016	DB12874
DB00016	DB14840
DB00016	DB15463
DB00016	DB11672
DB00016	DB15569
DB00016	DB00034
DB00016	DB12674
DB00016	DB11689
DB00016	DB11952
DB00016	DB12597
DB00018	DB06643
DB00018	DB00008
DB00018	DB00011
DB00018	DB00022
DB00018	DB00033
DB00018	DB00034
DB00018	DB00056
DB00018	DB00059
DB00018	DB00068
DB00018	DB00069
DB00018	DB00073
DB00018	DB00078
DB00018	DB00087
DB00018	DB00105
DB00018	DB00188
DB00018	DB00242
DB00018	DB00262
DB00018	DB00290
DB00018	DB00291
DB00018	DB00293
DB00018	DB00305
DB00018	DB00307
DB00018	DB00322
DB00018	DB00352
DB00018	DB00361
DB00018	DB00398
DB00018	DB00428
DB00018	DB00432
DB00018	DB00441
DB00018	DB00444
DB00018	DB00445
DB00018	DB00480
DB00018	DB00515
DB00018	DB00526
DB00018	DB00531
DB00018	DB00541
DB00018	DB00544
DB00018	DB00563
DB00018	DB00570
DB00018	DB00619
DB00018	DB00631
DB00018	DB00635
DB00018	DB00642
DB00018	DB00694
DB00018	DB00755
DB00018	DB00762
DB00018	DB00773
DB00018	DB00851
DB00018	DB00853
DB00018	DB00877
DB00018	DB00928
DB00018	DB00958
DB00018	DB00959
DB00018	DB00970
DB00018	DB00987
DB00018	DB00997
DB00018	DB01005
DB00018	DB01008
DB00018	DB01024
DB00018	DB01030
DB00018	DB01033
DB00018	DB01041
DB00018	DB01042
DB00018	DB01073
DB00018	DB01101
DB00018	DB01168
DB00018	DB01169
DB00018	DB01181
DB00018	DB01204
DB00018	DB01206
DB00018	DB01229
DB00018	DB01234
DB00018	DB01248
DB00018	DB01254
DB00018	DB01262
DB00018	DB01268
DB00018	DB01280
DB00018	DB01590
DB00018	DB02546
DB00018	DB04572
DB00018	DB04845
DB00018	DB04868
DB00018	DB05015
DB00018	DB05109
DB00018	DB05258
DB00018	DB05472
DB00018	DB06287
DB00018	DB06589
DB00018	DB06603
DB00018	DB06616
DB00018	DB06769
DB00018	DB06772
DB00018	DB06813
DB00018	DB08871
DB00018	DB08877
DB00018	DB08889
DB00018	DB08901
DB00018	DB08910
DB00018	DB08935
DB00018	DB09036
DB00018	DB09052
DB00018	DB09053
DB00018	DB09054
DB00018	DB09073
DB00018	DB09074
DB00018	DB09077
DB00018	DB09122
DB00018	DB12025
DB00018	DB12814
DB00018	DB12947
DB00018	DB00041
DB00018	DB01097
DB00018	DB00072
DB00018	DB08868
DB00018	DB00864
DB00018	DB11919
DB00018	DB09030
DB00018	DB12768
DB00018	DB00499
DB00018	DB00571
DB00018	DB00831
DB00018	DB11967
DB00018	DB12332
DB00018	DB11757
DB00018	DB11689
DB00018	DB00904
DB00018	DB00530
DB00018	DB06626
DB00018	DB09256
DB00018	DB13874
DB00018	DB00675
DB00018	DB00091
DB00018	DB15119
DB00018	DB06650
DB00018	DB06343
DB00019	DB00531
DB00019	DB01030
DB00019	DB00008
DB00019	DB00022
DB00019	DB00059
DB00019	DB05860
DB00019	DB09122
DB00019	DB12814
DB00019	DB00361
DB00019	DB00541
DB00019	DB00570
DB00020	DB00290
DB00020	DB00531
DB00020	DB00361
DB00020	DB00541
DB00020	DB00570
DB00022	DB06643
DB00022	DB00008
DB00022	DB00011
DB00022	DB00018
DB00022	DB00033
DB00022	DB00034
DB00022	DB00056
DB00022	DB00059
DB00022	DB00068
DB00022	DB00069
DB00022	DB00073
DB00022	DB00078
DB00022	DB00087
DB00022	DB00105
DB00022	DB00242
DB00022	DB00290
DB00022	DB00291
DB00022	DB00293
DB00022	DB00305
DB00022	DB00307
DB00022	DB00322
DB00022	DB00352
DB00022	DB00361
DB00022	DB00428
DB00022	DB00432
DB00022	DB00441
DB00022	DB00444
DB00022	DB00445
DB00022	DB00480
DB00022	DB00515
DB00022	DB00526
DB00022	DB00541
DB00022	DB00563
DB00022	DB00570
DB00022	DB00631
DB00022	DB00635
DB00022	DB00694
DB00022	DB00755
DB00022	DB00762
DB00022	DB00853
DB00022	DB00877
DB00022	DB00928
DB00022	DB00958
DB00022	DB00959
DB00022	DB00970
DB00022	DB00987
DB00022	DB00997
DB00022	DB01005
DB00022	DB01008
DB00022	DB01024
DB00022	DB01030
DB00022	DB01033
DB00022	DB01041
DB00022	DB01042
DB00022	DB01073
DB00022	DB01168
DB00022	DB01169
DB00022	DB01181
DB00022	DB01204
DB00022	DB01206
DB00022	DB01229
DB00022	DB01234
DB00022	DB01248
DB00022	DB01262
DB00022	DB01268
DB00022	DB01280
DB00022	DB01590
DB00022	DB02546
DB00022	DB04572
DB00022	DB04845
DB00022	DB04868
DB00022	DB05258
DB00022	DB05472
DB00022	DB06287
DB00022	DB06603
DB00022	DB06616
DB00022	DB06772
DB00022	DB06813
DB00022	DB08871
DB00022	DB08889
DB00022	DB08935
DB00022	DB09036
DB00022	DB09052
DB00022	DB09053
DB00022	DB09054
DB00022	DB09073
DB00022	DB09074
DB00022	DB09077
DB00022	DB09122
DB00022	DB12025
DB00022	DB12814
DB00022	DB12947
DB00022	DB05015
DB00022	DB00041
DB00022	DB00675
DB00022	DB00904
DB00022	DB00188
DB00022	DB00262
DB00022	DB00398
DB00022	DB00499
DB00022	DB00530
DB00022	DB00544
DB00022	DB00571
DB00022	DB00619
DB00022	DB00642
DB00022	DB00773
DB00022	DB00831
DB00022	DB00851
DB00022	DB01254
DB00022	DB06589
DB00022	DB06626
DB00022	DB06769
DB00022	DB08910
DB00022	DB09256
DB00022	DB11919
DB00022	DB11967
DB00022	DB12332
DB00022	DB13874
DB00022	DB11757
DB00022	DB11689
DB00022	DB01097
DB00022	DB00072
DB00022	DB00019
DB00022	DB05860
DB00022	DB08868
DB00022	DB00864
DB00022	DB09030
DB00022	DB12768
DB00022	DB00317
DB00022	DB00377
DB00022	DB00433
DB00022	DB00641
DB00022	DB00914
DB00022	DB11718
DB00022	DB05109
DB00022	DB08901
DB00022	DB11963
DB00022	DB00203
DB00022	DB00580
DB00022	DB01095
DB00022	DB06370
DB00022	DB06803
DB00022	DB08828
DB00022	DB08899
DB00022	DB15233
DB00022	DB00313
DB00022	DB00531
DB00022	DB01101
DB00022	DB08877
DB00022	DB08875
DB00022	DB12147
DB00022	DB00091
DB00022	DB15119
DB00022	DB08912
DB00022	DB06650
DB00022	DB06343
DB00033	DB06643
DB00033	DB00008
DB00033	DB00011
DB00033	DB00018
DB00033	DB00022
DB00033	DB00034
DB00033	DB00041
DB00033	DB00056
DB00033	DB00059
DB00033	DB00068
DB00033	DB00069
DB00033	DB00073
DB00033	DB00078
DB00033	DB00087
DB00033	DB00105
DB00033	DB00188
DB00033	DB00242
DB00033	DB00262
DB00033	DB00290
DB00033	DB00291
DB00033	DB00293
DB00033	DB00305
DB00033	DB00307
DB00033	DB00322
DB00033	DB00352
DB00033	DB00361
DB00033	DB00398
DB00033	DB00428
DB00033	DB00432
DB00033	DB00441
DB00033	DB00444
DB00033	DB00445
DB00033	DB00480
DB00033	DB00515
DB00033	DB00526
DB00033	DB00531
DB00033	DB00541
DB00033	DB00544
DB00033	DB00563
DB00033	DB00570
DB00033	DB00619
DB00033	DB00631
DB00033	DB00635
DB00033	DB00642
DB00033	DB00694
DB00033	DB00755
DB00033	DB00762
DB00033	DB00773
DB00033	DB00851
DB00033	DB00853
DB00033	DB00877
DB00033	DB00928
DB00033	DB00958
DB00033	DB00959
DB00033	DB00970
DB00033	DB00987
DB00033	DB00997
DB00033	DB01005
DB00033	DB01008
DB00033	DB01024
DB00033	DB01030
DB00033	DB01033
DB00033	DB01041
DB00033	DB01042
DB00033	DB01073
DB00033	DB01101
DB00033	DB01168
DB00033	DB01169
DB00033	DB01181
DB00033	DB01204
DB00033	DB01206
DB00033	DB01229
DB00033	DB01234
DB00033	DB01248
DB00033	DB01254
DB00033	DB01262
DB00033	DB01268
DB00033	DB01280
DB00033	DB01590
DB00033	DB02546
DB00033	DB04572
DB00033	DB04845
DB00033	DB04868
DB00033	DB05015
DB00033	DB05109
DB00033	DB05258
DB00033	DB05472
DB00033	DB06287
DB00033	DB06589
DB00033	DB06603
DB00033	DB06616
DB00033	DB06769
DB00033	DB06772
DB00033	DB06813
DB00033	DB08871
DB00033	DB08877
DB00033	DB08889
DB00033	DB08901
DB00033	DB08910
DB00033	DB08935
DB00033	DB09036
DB00033	DB09052
DB00033	DB09053
DB00033	DB09054
DB00033	DB09073
DB00033	DB09074
DB00033	DB09077
DB00033	DB09122
DB00033	DB12025
DB00033	DB12814
DB00033	DB12947
DB00033	DB01097
DB00033	DB00072
DB00033	DB08868
DB00033	DB00864
DB00033	DB11919
DB00033	DB09030
DB00033	DB12768
DB00033	DB00499
DB00033	DB00571
DB00033	DB00831
DB00033	DB11967
DB00033	DB12332
DB00033	DB11757
DB00033	DB11689
DB00033	DB00904
DB00033	DB00530
DB00033	DB06626
DB00033	DB09256
DB00033	DB13874
DB00033	DB00675
DB00033	DB00091
DB00033	DB15119
DB00033	DB06650
DB00033	DB06343
DB00034	DB06643
DB00034	DB00008
DB00034	DB00011
DB00034	DB00018
DB00034	DB00022
DB00034	DB00033
DB00034	DB00056
DB00034	DB00059
DB00034	DB00068
DB00034	DB00069
DB00034	DB00073
DB00034	DB00078
DB00034	DB00087
DB00034	DB00105
DB00034	DB00188
DB00034	DB00242
DB00034	DB00262
DB00034	DB00290
DB00034	DB00291
DB00034	DB00293
DB00034	DB00305
DB00034	DB00307
DB00034	DB00322
DB00034	DB00352
DB00034	DB00361
DB00034	DB00398
DB00034	DB00428
DB00034	DB00432
DB00034	DB00441
DB00034	DB00444
DB00034	DB00445
DB00034	DB00480
DB00034	DB00515
DB00034	DB00526
DB00034	DB00531
DB00034	DB00541
DB00034	DB00544
DB00034	DB00563
DB00034	DB00570
DB00034	DB00619
DB00034	DB00631
DB00034	DB00635
DB00034	DB00642
DB00034	DB00694
DB00034	DB00755
DB00034	DB00762
DB00034	DB00773
DB00034	DB00851
DB00034	DB00853
DB00034	DB00877
DB00034	DB00928
DB00034	DB00958
DB00034	DB00959
DB00034	DB00970
DB00034	DB00987
DB00034	DB00997
DB00034	DB01005
DB00034	DB01008
DB00034	DB01024
DB00034	DB01030
DB00034	DB01033
DB00034	DB01041
DB00034	DB01042
DB00034	DB01073
DB00034	DB01101
DB00034	DB01168
DB00034	DB01169
DB00034	DB01181
DB00034	DB01204
DB00034	DB01206
DB00034	DB01229
DB00034	DB01234
DB00034	DB01248
DB00034	DB01254
DB00034	DB01262
DB00034	DB01268
DB00034	DB01280
DB00034	DB01590
DB00034	DB02546
DB00034	DB04572
DB00034	DB04845
DB00034	DB04868
DB00034	DB05015
DB00034	DB05109
DB00034	DB05258
DB00034	DB05472
DB00034	DB06287
DB00034	DB06589
DB00034	DB06603
DB00034	DB06616
DB00034	DB06769
DB00034	DB06772
DB00034	DB06813
DB00034	DB08871
DB00034	DB08877
DB00034	DB08889
DB00034	DB08901
DB00034	DB08910
DB00034	DB08935
DB00034	DB09036
DB00034	DB09052
DB00034	DB09053
DB00034	DB09054
DB00034	DB09073
DB00034	DB09074
DB00034	DB09077
DB00034	DB09122
DB00034	DB12025
DB00034	DB12814
DB00034	DB12947
DB00034	DB00041
DB00034	DB01097
DB00034	DB00072
DB00034	DB08868
DB00034	DB00864
DB00034	DB11919
DB00034	DB09030
DB00034	DB12768
DB00034	DB00499
DB00034	DB00571
DB00034	DB00831
DB00034	DB11967
DB00034	DB12332
DB00034	DB11757
DB00034	DB11689
DB00034	DB00904
DB00034	DB00530
DB00034	DB06626
DB00034	DB09256
DB00034	DB13874
DB00034	DB00675
DB00034	DB00091
DB00034	DB15119
DB00034	DB00016
DB00034	DB06650
DB00034	DB06343
DB00041	DB06643
DB00041	DB00011
DB00041	DB00033
DB00041	DB00056
DB00041	DB00059
DB00041	DB00068
DB00041	DB00073
DB00041	DB00078
DB00041	DB00087
DB00041	DB00242
DB00041	DB00262
DB00041	DB00290
DB00041	DB00291
DB00041	DB00293
DB00041	DB00305
DB00041	DB00307
DB00041	DB00322
DB00041	DB00352
DB00041	DB00428
DB00041	DB00432
DB00041	DB00441
DB00041	DB00445
DB00041	DB00480
DB00041	DB00515
DB00041	DB00526
DB00041	DB00544
DB00041	DB00631
DB00041	DB00642
DB00041	DB00755
DB00041	DB00851
DB00041	DB00853
DB00041	DB00928
DB00041	DB00958
DB00041	DB00959
DB00041	DB00970
DB00041	DB01005
DB00041	DB01024
DB00041	DB01030
DB00041	DB01033
DB00041	DB01041
DB00041	DB01042
DB00041	DB01073
DB00041	DB01101
DB00041	DB01168
DB00041	DB01169
DB00041	DB01204
DB00041	DB01206
DB00041	DB01234
DB00041	DB01262
DB00041	DB01280
DB00041	DB02546
DB00041	DB05258
DB00041	DB05472
DB00041	DB06769
DB00041	DB06813
DB00041	DB08871
DB00041	DB08889
DB00041	DB08935
DB00041	DB09036
DB00041	DB09052
DB00041	DB09077
DB00041	DB09122
DB00041	DB12025
DB00041	DB12814
DB00041	DB12947
DB00041	DB00694
DB00041	DB00987
DB00041	DB05015
DB00041	DB00619
DB00041	DB00008
DB00041	DB00018
