drug 	 gene
DB03017	PLA2G2D
DB03017	pvdQ
DB03017	LY96
DB03017	TLR4
DB03017	PPARA
DB03017	fhuA
DB03017	GM2A
DB03017	ADH5
DB03017	fabH
DB03017	fabB
DB03018	cobT
DB03019	CDK2
DB03020	ADH1C
DB03021	ACTA1
DB03022	ribH
DB03023	LYN
DB03023	SRC
DB03023	LCK
DB03024	REN
DB03026	kbaY
DB03026	fbaA
DB03026	TPI1
DB03026	mgsA
DB03026	rhaD
DB03026	fucA
DB03028	CTSD
DB03030	fabI
DB03031	camC
DB03032	GSTM4
DB03033	MMP13
DB03033	MMP3
DB03034	lytA
DB03035	CSNK2A1
DB03037	actVA 6
DB03038	thyA
DB03039	CA2
DB03040	LTF
DB03041	GALE
DB03041	B3GAT3
DB03041	hasB
DB03042	pgiB
DB03042	GPI
DB03044	MAPK14
DB03045	phbA
DB03046	PLAU
DB03048	DPYD
DB03049	sufS
DB03051	qheDH
DB03051	putA
DB03052	TBXAS1
DB03053	acdS
DB03056	CES1
DB03057	bla
DB03058	CFD
DB03059	HADH
DB03059	phbA
DB03059	ACADS
DB03059	ECHS1
DB03059	menB
DB03059	mvaS
DB03059	mvaS
DB03060	DHFR
DB03061	ADH1C
DB03062	NMT1
DB03062	NMT1
DB03064	HAO1
DB03065	NOS3
DB03067	PYGM
DB03068	cdd
DB03069	rfbG
DB03070	IMPDH2
DB03072	PARP1
DB03073	PARP1
DB03074	tgt
DB03075	metK
DB03076	gag-pol
DB03077	ctxB
DB03077	ctxB
DB03078	SRC
DB03079	cobT
DB03081	PRSS1
DB03082	PLAU
DB03083	CSNK1G2
DB03084	MAPK10
DB03085	G6PD
DB03086	METAP2
DB03087	LCN9
DB03088	AMY2B
DB03088	VEGFA
DB03088	AMY2A
DB03088	IGLC1
DB03088	TFF2
DB03088	cycA
DB03088	ADAM28
DB03088	nir
DB03088	KRTAP5-2
DB03088	HCRT
DB03088	CCL8
DB03090	SAP2
DB03091	atpF
DB03092	AMY2B
DB03092	AMY1A
DB03092	AMY2A
DB03093	HSP90AA1
DB03095	GALE
DB03096	CTSD
DB03097	alr
DB03098	soxA
DB03100	NOS2
DB03100	NOS3
DB03101	udp
DB03101	PNP
DB03102	PTPN1
DB03103	NME1
DB03104	SRC
DB03106	GBA
DB03106	CDIPT
DB03106	plcA
DB03107	panC
DB03108	rpiB
DB03109	CHIT1
DB03109	chiB
DB03109	chiA
DB03110	MAPK14
DB03111	fhuA
DB03113	kdsA
DB03114	SRC
DB03115	MAP2K1
DB03116	aroA
DB03117	scpB
DB03118	gag-pol
DB03120	LYZ
DB03120	CTSH
DB03121	PLA2G2A
DB03124	CASP3
DB03125	DHFR
DB03125	folA
DB03126	MYH14
DB03127	KLK1
DB03127	PLAU
DB03127	PRSS1
DB03127	CSNK2A1
DB03127	KLK6
DB03127	PRSS2
DB03127	PRSS3
DB03127	ATOX1
DB03127	ECI1
DB03127	sprT
DB03127	ST14
DB03128	CHRM1
DB03128	CHRM2
DB03128	CHRM3
DB03128	CHRM4
DB03128	CHRNA7
DB03129	PRSS3
DB03130	GLO1
DB03132	TPI1
DB03133	PYGM
DB03134	dapD
DB03135	TPI1
DB03136	F2
DB03136	PRSS1
DB03136	PLAU
DB03137	HSP90AA1
DB03138	arsC
DB03140	ampC
DB03141	gag-pol
DB03141	ORF
DB03142	araF
DB03142	araC
DB03142	galM
DB03143	atpE
DB03144	NOS3
DB03144	nos
DB03144	NOS2
DB03144	ARG1
DB03144	NOS1
DB03145	thiE
DB03146	purA
DB03147	NDUFA9
DB03147	pobA
DB03147	NOS1
DB03147	NQO1
DB03147	pobA
DB03147	ERO1B
DB03147	GSR
DB03147	fprA
DB03147	CYB5R3
DB03147	choA
DB03147	thyX
DB03147	pox5
DB03147	gor
DB03147	soxA
DB03147	TPR
DB03147	NQO2
DB03147	IVD
DB03147	XDH
DB03147	choB
DB03147	DPYD
DB03147	dld
DB03147	TXNRD1
DB03147	ACAD8
DB03147	AIFM1
DB03147	glf
DB03147	hmp
DB03147	thiO
DB03147	POR
DB03147	GCDH
DB03147	ACADM
DB03147	DAO
DB03147	putA
DB03147	phr
DB03147	MAOA
DB03147	ACADS
DB03147	IL4I1
DB03147	fadH
DB03147	xecC
DB03147	fccA
DB03147	trxB
DB03147	metF
DB03147	dmg
DB03147	npr
DB03147	petH
DB03147	cysJ
DB03147	fpr
DB03147	bphA4
DB03147	phrB
DB03147	phr
DB03147	nadB
DB03147	cry
DB03147	DLD
DB03147	ifcA
DB03147	CYB5R1
DB03147	MAOB
DB03147	FDXR
DB03147	ACOX1
DB03147	murB
DB03147	GFER
DB03147	murB
DB03147	hmp
DB03147	pheA2
DB03147	metF
DB03147	camA
DB03147	lpdA
DB03147	glf
DB03147	abfD
DB03147	pchF
DB03147	ahpF
DB03147	m-6
DB03147	GR2
DB03147	pamO
DB03147	benC
DB03147	fkbI
DB03147	lpdV
DB03147	lpd
DB03147	ahpF
DB03147	petH
DB03147	fpr
DB03147	mrsD
DB03148	prs
DB03148	ushA
DB03150	DTYMK
DB03151	nosZ
DB03152	puhA
DB03152	aqpZ
DB03152	petB
DB03152	petA
DB03152	petC
DB03152	RHO
DB03152	TGM3
DB03152	polA
DB03152	aqpZ
DB03153	HPRT1
DB03154	PTPN1
DB03155	RNASE1
DB03156	cslA
DB03156	aguA
DB03157	thyA
DB03158	INPP5B
DB03159	F2
DB03159	PRSS1
DB03159	PLAU
DB03160	bioF
DB03161	rmlB
DB03161	rmlC
DB03163	xecC
DB03164	PAPS
DB03165	idi
DB03169	HMGCR
DB03169	mvaA
DB03169	mvaS
DB03170	coaD
DB03171	trpA
DB03171	trpB
DB03171	trpA
DB03172	deoD
DB03173	PRSS1
DB03174	phnX
DB03175	LYZ
DB03176	THRA
DB03176	THRB
DB03177	cobT
DB03178	rnaSA
DB03179	COMTD1
DB03180	cobT
DB03181	THRB
DB03182	CS
DB03183	PDE4D
DB03185	CDA
DB03186	RNASE1
DB03187	GCSH
DB03189	LYZ
DB03190	pbpX
DB03191	MAT1A
DB03192	HSD17B4
DB03193	PPARA
DB03193	PLA2G2D
DB03194	MBL2
DB03195	DTYMK
DB03196	abfA
DB03197	folK
DB03199	dnrK
DB03200	cobT
DB03201	CPA1
DB03202	CELA1
DB03203	PVR
DB03203	GLTP
DB03205	qheDH
DB03205	gdhB
DB03205	pqqC
DB03205	exaA
DB03205	qbdA
DB03206	cgt
DB03206	bglA
DB03206	MAN1B1
DB03206	MSDC
DB03206	xylA
DB03207	MMP8
DB03210	tyrB
DB03212	gudD
DB03213	PRSS1
DB03214	IL4I1
DB03214	ACCS
DB03215	carA
DB03216	AHCY
DB03217	SRC
DB03218	PYGM
DB03219	rdmB
DB03220	ADA
DB03221	CA2
DB03222	NRDD
DB03222	recA
DB03222	recA
DB03222	POLB
DB03222	nrdE
DB03223	EEF2
DB03224	cycA
DB03225	DAO
DB03226	ADH1C
DB03226	HRAS
DB03227	BST1
DB03227	NMNAT1
DB03227	NMNAT3
DB03227	ligA
DB03228	nfsB
DB03229	cefE
DB03230	acs
DB03231	folB
DB03232	yceI
DB03233	DTYMK
DB03234	shc
DB03235	ctxB
DB03237	gudD
DB03238	E
DB03240	GRIA2
DB03241	SAP2
DB03242	eltB
DB03243	PRSS1
DB03245	GCDH
DB03246	araF
DB03247	BLVRB
DB03247	HAO1
DB03247	PNPO
DB03247	RFK
DB03247	nfsA
DB03247	NOS1
DB03247	pyrD
DB03247	DPYD
DB03247	DHODH
DB03247	nfsB
DB03247	aroC
DB03247	fadH
DB03247	pyrDA
DB03247	pdxH
DB03247	onr
DB03247	azoR
DB03247	epiD
DB03247	azoR
DB03247	aroC
DB03247	isiB
DB03247	isiB
DB03247	moxC
DB03247	nrdI
DB03247	ecdB
DB03247	mdlB
DB03247	azr
DB03247	fldA
DB03247	SGK1
DB03247	nfsB
DB03247	fprA
DB03247	fni
DB03247	tmd
DB03247	roo
DB03247	morB
DB03247	frp
DB03247	RPS6KA4
DB03247	phzG
DB03247	HAO2
DB03247	fldA
DB03247	fni
DB03247	nox
DB03247	POR
DB03247	PPCDC
DB03247	phzG
DB03247	gltS
DB03248	kdsA
DB03250	PYGM
DB03251	PRSS1
DB03252	dadX
DB03252	lysA
DB03253	DPP4
DB03254	cyp158a2
DB03255	ALB
DB03255	npr
DB03256	glyA
DB03256	gcvT
DB03256	arnA
DB03256	FTCD
DB03256	dmg
DB03257	NA
DB03258	NRDD
DB03258	dcd
DB03258	polA
DB03258	nrdE
DB03259	bphC
DB03262	CA2
DB03264	fabH
DB03264	fadR
DB03267	PCK1
DB03268	SRC
DB03270	CA2
DB03273	AHCY
DB03274	thyA
DB03276	GRB2
DB03277	AMY2B
DB03277	malE
DB03278	pflB
DB03279	RARG
DB03280	TK
DB03280	tmk
DB03280	DTYMK
DB03280	tmk
DB03280	TK
DB03283	ACHE
DB03286	PYGM
DB03289	arsC
DB03290	apr
DB03292	PSPH
DB03294	CA2
DB03297	CMA1
DB03297	apr
DB03297	rsbQ
DB03297	SOD2
DB03297	HPN
DB03297	estB
DB03298	SRC
DB03299	Aaar
DB03300	MOD
DB03301	E
DB03304	tgt
DB03305	NOS3
DB03306	SRC
DB03307	CDK2
DB03308	nprS
DB03309	SULT2B1
DB03309	nirS
DB03309	EN2
DB03309	rph
DB03309	P/V
DB03310	GPX5
DB03310	GPX1
DB03310	GPX2
DB03310	GPX3
DB03310	GPX6
DB03310	GPX7
DB03310	GPX4
DB03310	GPX8
DB03310	MGST1
DB03310	GSTA1
DB03310	GSTA2
DB03310	GSTM1
DB03310	GSTM2
DB03310	GSTM3
DB03310	GSTM4
DB03310	GSTM5
DB03310	GSTP1
DB03310	GSTT1
DB03310	GSTT2
DB03310	GSTT2B
DB03310	HPGDS
DB03310	GSTM2
DB03310	GSR
DB03311	PTPN1
DB03312	TK2
DB03312	DNApol
DB03312	TK
DB03313	pbp1b
DB03313	pbpA
DB03313	penA
DB03313	pbp2a
DB03313	pbp3
DB03314	TPI1
DB03314	GSTM1
DB03315	pyrR
DB03316	apr
DB03316	TNFSF13B
DB03316	EPN1
DB03316	TGFB3
DB03317	nirS
DB03317	hmcA
DB03317	cycA
DB03317	qheDH
DB03317	nirS
DB03317	cc4
DB03317	CYCS
DB03317	nrfA
DB03317	cycA
DB03317	psbV
DB03317	cycM
DB03317	nirM
DB03317	cyd
DB03317	glbN
DB03317	CYP2C9
DB03317	ccpA
DB03317	cycP
DB03317	cytc3
DB03319	GRIA2
DB03320	env
DB03321	NA
DB03323	AMY2B
DB03323	spoII
DB03323	amyM
DB03323	malP
DB03323	malE
DB03323	aglA
DB03323	malE
DB03323	treZ
DB03325	tyrS
DB03326	RNASE1
DB03327	alr
DB03328	XDH
DB03329	CTSB
DB03330	GLO1
DB03331	GAPDHS
DB03332	NOS3
DB03333	CA2
DB03335	linB
DB03336	COMT
DB03337	PRSS1
DB03338	FKBP1A
DB03338	PPARD
DB03340	pepV
DB03341	AANAT
DB03342	NA
DB03343	fccA
DB03344	CYTH3
DB03345	E
DB03345	GLO1
DB03345	PNPO
DB03345	gfo
DB03345	SERPINA1
DB03345	pdxH
DB03345	LGALS1
DB03345	ninB
DB03345	SCMH1
DB03346	SULT1E1
DB03347	opd
DB03347	TP53
DB03347	opd
DB03348	ACHE
DB03349	PDE4B
DB03349	HINT1
DB03350	tolC
DB03350	aroC
DB03351	DHFR
DB03352	arsC
DB03352	arsC
DB03352	MST
DB03354	PYGM
DB03355	thrS
DB03355	thrS
DB03357	mdlA
DB03358	PAPS
DB03359	ACHE
DB03360	carC
DB03361	budB
DB03363	dapB
DB03365	CDK2
DB03366	soxA
DB03366	cobT
DB03366	MB
DB03366	NOS2
DB03366	AK2
DB03366	PIM1
DB03366	idi
DB03366	otsA
DB03366	LTA4H
DB03366	GPHN
DB03366	acpP
DB03366	fixL
DB03366	CYCS
DB03366	kaiB
DB03366	hisD
DB03366	tesA
DB03366	mutY
DB03366	yerA
DB03366	MYO1E
DB03366	DMC1
DB03366	guaD
DB03366	xlnA
DB03366	vhb
DB03366	moaB
DB03366	UGI
DB03366	recR
DB03367	MMP12
DB03368	MMP3
DB03369	eryF
DB03370	ADA
DB03371	ptd
DB03372	IL2
DB03373	PRSS1
DB03374	PKIA
DB03374	PRKACA
DB03374	PRSS1
DB03374	nikA
DB03374	IYD
DB03376	EPRS
DB03379	TPI1
DB03380	NPY
DB03380	BPHL
DB03381	RHO
DB03381	DBI
DB03382	panD
DB03382	PREP
DB03382	ppx
DB03382	tpx
DB03382	SOD1
DB03382	npr
DB03383	PYGM
DB03384	CASP7
DB03385	CA2
DB03385	MB
DB03385	CA5A
DB03389	cslB
DB03389	cslA
DB03389	cex
DB03389	spoII
DB03389	galM
DB03389	xyn10C
DB03389	xynA
DB03389	xlnA
DB03389	xlnA
DB03389	xyl
DB03389	LCT
DB03389	xynC
DB03390	ACPP
DB03392	PYGM
DB03393	PPIA
DB03394	CBR1
DB03395	REN
DB03396	METAP2
DB03397	UAP1
DB03397	murA
DB03397	GALE
DB03397	galE
DB03397	EXTL2
DB03397	MGAT1
DB03397	glmU
DB03397	glmU
DB03399	MB
DB03400	tyrB
DB03401	CYTH2
DB03401	EPN1
DB03401	PLCD1
DB03401	RDX
DB03401	SPTBN1
DB03401	ITPR1
DB03401	ITPKA
DB03403	UCK2
DB03403	kpsU
DB03403	ispF
DB03403	ispDF
DB03403	CMPK1
DB03403	ispF
DB03403	cmk
DB03403	coaBC
DB03403	cst-II
DB03405	CTSK
DB03408	GSS
DB03411	punA
DB03412	ansB
DB03413	DUT
DB03413	dut
DB03413	dut
DB03413	Tcdut
DB03413	pol
DB03414	MAN2A1
DB03415	ACADM
DB03416	thiE
DB03417	PRSS1
DB03419	DPYD
DB03419	UCKL1
DB03419	ung
DB03419	rsuA
DB03419	udg
DB03419	pdp
DB03420	NA
DB03421	eltB
DB03423	cmoA
DB03424	LTA4H
DB03425	GRIK2
DB03428	CDK2
DB03428	CDK5
DB03428	CDK1
DB03429	SLC25A4
DB03430	LCTL
DB03433	cobD
DB03434	purT
DB03434	yicI
DB03434	GNLY
DB03435	wecB
DB03435	ABO
DB03435	galT
DB03435	pol
DB03435	B3GAT1
DB03435	otsA
DB03435	EXTL2
DB03435	GLT6D1
DB03435	spsA
DB03435	CMPK1
DB03435	bgt
DB03435	galE
DB03435	B3GAT3
DB03435	galE
DB03435	GYG1
DB03435	GPR17
DB03436	fhuD
DB03437	ampC
DB03439	AMY1A
DB03439	AMY2A
DB03440	cyp102A1
DB03441	CPA1
DB03442	ATIC
DB03443	PRSS1
DB03444	GSK3B
DB03445	bla
DB03446	eltB
DB03447	RNASE1
DB03448	RNASE1
DB03448	RNASE4
DB03449	NOS2
DB03449	NOS1
DB03450	bla
DB03451	VDR
DB03452	fumC
DB03453	IL2
DB03454	bphC
DB03455	IL2
DB03456	CTSK
DB03459	pyrB
DB03459	CAD
DB03461	icd
DB03461	AKR1B1
DB03461	zwf
DB03461	AKR1C2
DB03461	HSD17B1
DB03461	NNT
DB03461	HSD11B1
DB03461	SPR
DB03461	PTR1
DB03461	DCXR
DB03461	IDH1
DB03461	AKR1C1
DB03461	NOS1
DB03461	G6PD
DB03461	DHFR
DB03461	hldD
DB03461	MTHFD1
DB03461	AKR1C3
DB03461	BLVRB
DB03461	icd
DB03461	CRYZ
DB03461	HMGCR
DB03461	ADH1B
DB03461	POR
DB03461	aroE
DB03461	adh
DB03461	fcl
DB03461	asd
DB03461	fadH
DB03461	ME1
DB03461	folA
DB03461	pntB
DB03461	fabG
DB03461	DHRS11
DB03461	MDH1
DB03461	ydhF
DB03461	ptr2
DB03461	HSD17B8
DB03461	AKR1A1
DB03461	actIII
DB03461	DECR1
DB03461	yhdN
DB03461	petH
DB03461	mtdA
DB03461	FDXR
DB03461	petH
DB03461	dkgA
DB03461	iolS
DB03461	gapN
DB03461	PTGR1
DB03461	cysJ
DB03461	AKR1B10
DB03461	aldH
DB03461	DHRS4L1
DB03462	phr
DB03462	deoA
DB03464	amn
DB03466	RARG
DB03467	ttgR
DB03467	ESR1
DB03467	AKR1C1
DB03467	CYP1B1
DB03467	KANSL3
DB03467	SHBG
DB03467	CYP19A1
DB03467	ESR2
DB03468	PNMT
DB03469	nirS
DB03469	nirS
DB03470	TPR
DB03471	PLA2G2A
DB03472	bla
DB03472	bla
DB03473	prmC
DB03475	NA
DB03476	PLAU
DB03477	PTGS2
DB03478	SIRT5
DB03479	PYGM
DB03480	DHODH
DB03481	fae
DB03482	pobA
DB03483	PTPN1
DB03484	ANXA5
DB03485	LTF
DB03485	araF
DB03486	CANT1
DB03487	LYZ
DB03487	cheY
DB03488	otsA
DB03490	CDK2
DB03491	NME1
DB03492	azu
DB03493	PAPS
DB03495	AMY2A
DB03496	PYGB
DB03496	PYGM
DB03496	CDK7
DB03496	CDK5
DB03496	CDK9
DB03496	CDK1
DB03496	CDK6
DB03496	EGFR
DB03496	CDK4
DB03496	CDK8
DB03496	CDK2
DB03498	phoA
DB03499	ME2
DB03499	CS
DB03499	kaiB
DB03499	fumC
DB03499	glcB
DB03499	synC
DB03500	LIP3
DB03501	ABO
DB03501	GALE
DB03501	B4GALT1
DB03501	GPR17
DB03502	asd
DB03503	NA
DB03504	HSP90AA1
DB03505	tgt
DB03506	APRT
DB03507	TNFRSF1A
DB03509	PARP1
DB03510	ADSSL1
DB03510	Adss
DB03512	RNASE1
DB03515	ksi
DB03515	ksi
DB03516	AOX1
DB03516	XDH
DB03516	DPYD
DB03517	soxA
DB03518	mvaA
DB03522	dhlB
DB03523	DHODH
DB03524	ctxB
DB03525	SRC
DB03526	CA2
DB03528	deoD
DB03530	ampC
DB03530	blaR1
DB03531	DAO
DB03532	ftsZ
DB03534	fabI
DB03535	PREP
DB03536	CTSF
DB03539	CHIT1
DB03540	camC
DB03541	NQO2
DB03541	TYMS
DB03541	DHRS4L1
DB03541	thyA
DB03541	thyA
DB03541	THYA
DB03542	IMPA1
DB03543	trpF
DB03543	trpC
DB03544	chbB
DB03544	ridA
DB03546	GART
DB03548	fhuA
DB03551	PNP
DB03551	punA
DB03552	TH
DB03553	aspC
DB03553	ilvE
DB03553	gadA
DB03554	DPYD
DB03555	PRSS1
DB03556	CBR1
DB03557	PTPN1
DB03558	thyA
DB03559	ADH1C
DB03559	ADH4
DB03562	cdd
DB03564	xylA
DB03565	PLA2G1B
DB03566	ADRB1
DB03566	ADRB2
DB03566	TXNRD1
DB03566	aacC1
DB03566	potD
DB03568	BCHE
DB03568	cumD
DB03569	cslA
DB03570	azu
DB03570	tenI
DB03570	panC
DB03571	folB
DB03572	ADA
DB03573	CTSF
DB03574	fhuA
DB03575	GRIN3A
DB03575	SIGMAR1
DB03577	ACPP
DB03581	glmS
DB03581	GPI
DB03582	astB
DB03583	CDK2
DB03584	celCCG
DB03584	cel5A
DB03584	celCCF
DB03584	celA1
DB03585	PLA2G2E
DB03586	yicI
DB03587	PLA2G1B
DB03588	CTSB
DB03589	ME2
DB03590	murE
DB03590	ddh
DB03591	SRC
DB03592	folP1
DB03592	folP
DB03593	DCPS
DB03594	CA2
DB03595	PRSS1
DB03596	CA2
DB03597	PDE5A
DB03597	GSTM4
DB03597	PDE9A
DB03598	CA2
DB03600	FURIN
DB03600	pab
DB03600	GLTP
DB03600	lipB
DB03600	tcp14
DB03600	PPARG
DB03600	fabB
DB03602	GLO1
DB03602	GSTA1
DB03603	gudD
DB03604	THRB
DB03606	PDE4B
DB03606	PDE4D
DB03607	apr
DB03608	qacR
DB03608	PRSS1
DB03608	AOC1
DB03608	PRDX5
DB03609	PNP
DB03611	MAT1A
DB03612	HADH
DB03613	fcbC
DB03614	MTR
DB03615	P4HB
DB03615	rpsL
DB03615	aac
DB03616	ACTA1
DB03619	ksi
DB03619	ppcA
DB03619	EFTUD1
DB03619	cbh
DB03619	aldA
DB03619	acrB
DB03619	ctaD
DB03619	ctaC
DB03619	NR1H4
DB03619	GSTP1
DB03619	GPBAR1
DB03619	GSTA1
DB03619	GSTA2
DB03619	GSTM1
DB03619	GSTM2
DB03619	GSTM3
DB03619	GSTM4
DB03619	GSTM5
DB03619	GSTP1
DB03619	GSTT1
DB03619	GSTT2
DB03619	GSTT2B
DB03619	HPGDS
DB03621	FKBP1A
DB03622	MMP8
DB03623	MAPK10
DB03624	bioD1
DB03626	NQO1
DB03627	camC
DB03628	SRC
DB03629	aspC
DB03631	tynA
DB03632	CHIT1
DB03632	chiB1
DB03633	GM2A
DB03633	PLA2G1B
DB03635	PPBP
DB03635	phnX
DB03636	MMP8
DB03637	PRSS3
DB03639	DHPS
DB03640	bla
DB03641	dut
DB03642	CTSK
DB03643	PRSS1
DB03643	HPN
DB03644	phzF
DB03645	ENO3
DB03649	dxr
DB03650	PIM1
DB03651	onr
DB03652	algQ1
DB03652	algQ2
DB03654	nuc
DB03654	prfA
DB03657	PYGM
DB03658	ampC
DB03659	SAP2
DB03660	DPP4
DB03660	E
DB03660	pcp
DB03661	fabH
DB03661	PTPN1
DB03661	luxS
DB03661	1
DB03661	CDC25B
DB03661	blaVIM-2
DB03661	CTSL
DB03661	prx
DB03661	def
DB03661	GLIPR2
DB03661	def
DB03662	aspC
DB03663	CDK2
DB03664	CMPK1
DB03666	DTYMK
DB03666	tmk
DB03667	PTGS1
DB03668	pyrF
DB03669	E
DB03670	PTPN1
DB03672	BCHE
DB03673	PAH
DB03676	gag-pol
DB03677	EPHX2
DB03679	qheDH
DB03680	ME2
DB03680	ME3
DB03683	MMP9
DB03685	UCKL1
DB03685	galT
DB03685	thyA
DB03685	GLT6D1
DB03685	LSM6
DB03685	upp
DB03685	B4GALT1
DB03685	ISG20
DB03685	pyrF
DB03685	pyrR
DB03685	upp
DB03685	arnA
DB03685	rsuA
DB03686	GSTP1
DB03687	ispF
DB03687	ispE
DB03687	ispD
DB03688	bioH
DB03690	PITPNA
DB03691	CTSF
DB03692	pldA
DB03693	CSNK1G2
DB03695	DHFR
DB03696	LSS
DB03697	CA2
DB03698	fadH
DB03699	dapD
DB03700	nprS
DB03701	SLC6A3
DB03701	KCNH2
DB03701	KCNH6
DB03701	KCNH7
DB03702	CELA1
DB03703	ADH1B
DB03704	ADH5
DB03705	folP
DB03706	GSTM4
DB03707	NOS3
DB03707	NOS1
DB03708	PAPSS1
DB03709	PLG
DB03709	mltB
DB03709	glf
DB03710	NOS1
DB03711	LCN9
DB03712	SRC
DB03714	PTPN1
DB03716	flA
DB03717	cex
DB03719	HSP90B1
DB03721	kpsU
DB03721	tetX
DB03721	ctxB
DB03721	botB
DB03721	SELP
DB03721	MBL2
DB03721	SELE
DB03721	REG1A
DB03721	entB
DB03721	NA
DB03721	HN
DB03721	L5
DB03721	SIGLEC1
DB03721	AZGP1
DB03721	L5
DB03721	CES1
DB03722	PARP1
DB03723	rfbD
DB03723	rmlA
DB03725	PCK1
DB03726	RNASE1
DB03727	UROD
DB03729	PLAU
DB03731	ARG1
DB03731	ARG2
DB03732	BST1
DB03733	linB
DB03734	gudD
DB03735	deoD
DB03736	REN
DB03737	CDK2
DB03738	PPCDC
DB03739	aroQ
DB03740	ACE
DB03740	ACHE
DB03740	GBA
DB03740	pdaA
DB03740	SIGLEC7
DB03740	HN
DB03740	lecB
DB03740	env
DB03740	IGHG1
DB03741	cumD
DB03742	ESR1
DB03745	kdsA
DB03745	rpiA
DB03746	aroD
DB03747	HEXB
DB03747	hex
DB03748	shc
DB03749	HSP90AA1
DB03750	aspC
DB03750	pcp
DB03750	cumD
DB03751	rfbB
DB03751	rmlC
DB03751	rmlB
DB03751	rmlA
DB03751	desIV
DB03752	PTGS1
DB03753	PTGS1
DB03754	APP
DB03755	fgs
DB03756	PPARA
DB03756	PPARG
DB03756	RXRA
DB03756	RXRB
DB03756	RXRG
DB03756	SREBF1
DB03756	MYC
DB03757	CELA1
DB03758	HSP90AB1
DB03758	HSP90B1
DB03758	DLAT
DB03758	PDK3
DB03758	phoQ
DB03759	GRIA2
DB03760	GCSH
DB03760	DLAT
DB03760	PDK3
DB03760	gcvT
DB03761	thyA
DB03761	thyA
DB03761	thyX
DB03761	thyA1
DB03763	ntd
DB03765	RNASE1
DB03766	alr
DB03766	GPHN
DB03766	cumD
DB03767	CTSS
DB03768	gag-pol
DB03769	AHCY
DB03771	shc
DB03772	ABO
DB03773	AMY2A
DB03773	galM
DB03773	amyA
DB03775	bioD
DB03775	bioD1
DB03775	bioB
DB03777	PDPK1
DB03777	PRKCI
DB03777	PIM1
DB03780	tgt
DB03781	ACACB
DB03782	PLAU
DB03783	PTGS1
DB03784	PLA2G2A
DB03785	mvaA
DB03787	dgdA
DB03788	THRB
DB03790	katA
DB03791	NR1H2
DB03792	RNASE1
DB03793	SLC15A1
DB03793	cocE
DB03793	DAO
DB03793	clcA
DB03793	cumD
DB03793	cpo
DB03793	nfsB
DB03793	chqB
DB03793	repA
DB03795	panB
DB03796	LALBA
DB03796	PPARA
DB03796	RHO
DB03796	PPT1
DB03796	PMP2
DB03796	PAEP
DB03796	HNF4G
DB03796	CYP2C8
DB03796	TRAPPC3
DB03798	thyA
DB03798	42
DB03799	metG
DB03799	map
DB03800	dut
DB03800	thyA
DB03800	thyA
DB03800	TYMS
DB03800	thyX
DB03800	pol
DB03800	dut
DB03800	THYA
DB03801	bla
DB03801	murD
DB03801	alr
DB03801	murE
DB03801	opd
DB03801	fgs
DB03801	pyrC
DB03801	CDK2
DB03801	hyuA
DB03801	bla
DB03801	lhyD
DB03801	iadA
DB03801	bla
DB03801	dadX
DB03802	ESR1
DB03803	gag-pol
DB03804	TK
DB03807	PDE4B
DB03808	qacR
DB03808	qacR
DB03809	HSP90AA1
DB03811	hisD
DB03811	hisS
DB03812	ribH
DB03813	fabA
DB03813	fabA
DB03814	ACHE
DB03814	glmS
DB03814	DFR1
DB03814	nirK
DB03814	CMA1
DB03814	GSTP1
DB03814	HSD11B1
DB03814	hcp
DB03814	lysA
DB03814	yicI
DB03814	limA
DB03814	manA
DB03814	B4GALT1
DB03814	ABL
DB03814	glmU
DB03814	dsbC
DB03814	gapA
DB03814	mdlB
DB03814	nir
DB03814	hslO
DB03814	msrC
DB03814	QDPR
DB03814	ASL
DB03814	ymdB
DB03814	ARL3
DB03814	blaB
DB03814	L3MBTL1
DB03814	BCHE
DB03814	rnz
DB03814	PRDX6
DB03814	mglB
DB03814	pep
DB03814	SFTPA1
DB03814	aroH
DB03814	cyp158a2
DB03814	IRGC
DB03815	fucI
DB03816	metG
DB03817	env
DB03818	thyA
DB03821	ARSA
DB03822	opd
DB03822	BCHE
DB03824	PNMT
DB03825	qacR
DB03825	acrB
DB03827	plc
DB03828	SRC
DB03830	folC
DB03832	CROT
DB03833	pip
DB03834	bla
DB03835	PYGM
DB03836	camC
DB03837	CTSS
DB03840	azu
DB03841	XDH
DB03842	E
DB03844	CA2
DB03845	DTYMK
DB03846	tmk
DB03847	F2
DB03847	BGLAP
DB03847	F10
DB03848	NR1H2
DB03849	PDE4D
DB03849	PDE4B
DB03850	ACTA1
DB03854	ispD
DB03855	ulaD
DB03856	ODC1
DB03857	celCCF
DB03859	celCCG
DB03860	ESR2
DB03861	HEXB
DB03861	KCNMB2
DB03862	cel5A
DB03862	bglA
DB03863	cslA
DB03863	cslB
DB03864	PREP
DB03865	F2
DB03865	PRSS1
DB03865	PLAU
DB03865	HPN
DB03866	PTGS2
DB03867	GSR
DB03868	aroQ
DB03869	thrS
DB03870	abfA
DB03871	azu
DB03874	shc
DB03876	PRSS1
DB03876	PLAU
DB03877	CA2
DB03878	ABL1
DB03878	ABL
DB03879	MBL2
DB03879	cslA
DB03880	ADAM28
DB03880	ADAMTS5
DB03880	MMP8
DB03880	MMP12
DB03880	MMP16
DB03881	PNP
