drug 	 gene
DB00176	SLC6A4
DB00176	KCNH2
DB00177	AGTR1
DB00178	ACE
DB00178	BDKRB1
DB00179	ALOX5
DB00179	SHBG
DB00179	TRPM7
DB00180	NR3C1
DB00181	GABBR2
DB00181	CXCR4
DB00181	GABBR1
DB00182	SLC18A2
DB00182	SLC6A3
DB00182	CARTPT
DB00182	TAAR1
DB00182	MAOA
DB00182	MAOB
DB00182	VMAT2
DB00182	SLC6A2
DB00182	ADRA1A
DB00182	ADRA1B
DB00182	ADRA1D
DB00182	ADRA2A
DB00182	ADRA2B
DB00182	ADRA2C
DB00182	ADRB1
DB00182	ADRB2
DB00182	ADRB3
DB00182	DRD2
DB00182	MAOB
DB00182	SLC6A4
DB00183	CCKBR
DB00184	CHRNA4
DB00184	CHRNA7
DB00184	CHRNB2
DB00184	CHRNA2
DB00184	CHRNA3
DB00184	CHRNA5
DB00184	CHRNA6
DB00184	CHRNA9
DB00184	CHRNA10
DB00184	CHRNB3
DB00184	CHRNB4
DB00184	CYP19A1
DB00184	CHAT
DB00185	CHRM3
DB00185	CHRM1
DB00186	GABRA1
DB00186	GABRA2
DB00186	GABRA3
DB00186	GABRA4
DB00186	GABRA5
DB00186	GABRA6
DB00186	GABRB1
DB00186	GABRB2
DB00186	GABRB3
DB00186	GABRD
DB00186	GABRE
DB00186	GABRG1
DB00186	GABRG2
DB00186	GABRG3
DB00186	GABRP
DB00186	GABRQ
DB00186	GABRA1
DB00186	GABRA2
DB00186	GABRA3
DB00186	GABRA5
DB00186	GABRG1
DB00186	GABRG2
DB00186	GABRG3
DB00187	ADRB1
DB00188	PSMB5
DB00188	PSMB1
DB00190	DDC
DB00191	SLC6A2
DB00191	SLC6A4
DB00191	SLC6A3
DB00191	MAOA
DB00191	MAOB
DB00191	NPY
DB00192	SCN5A
DB00193	OPRM1
DB00193	SLC6A2
DB00193	SLC6A4
DB00193	SCN2A
DB00193	GRIN1
DB00193	GRIN2A
DB00193	GRIN2B
DB00193	GRIN2C
DB00193	GRIN2D
DB00193	GRIN3A
DB00193	GRIN3B
DB00193	ADORA1
DB00193	ADRA2A
DB00193	ADRA2B
DB00193	ADRA2C
DB00193	HTR2C
DB00193	OPRK1
DB00193	OPRD1
DB00193	CHRNA7
DB00193	CHRM3
DB00193	CHRM1
DB00193	TACR1
DB00193	TRPV1
DB00194	TK
DB00194	TK
DB00195	ADRB1
DB00195	ADRB2
DB00196	ERG11
DB00197	PPARG
DB00197	ESRRG
DB00197	ESRRA
DB00197	PPARD
DB00197	PPARA
DB00197	GSTP1
DB00197	ACSL4
DB00197	SERPINE1
DB00197	SLC29A1
DB00198	NA
DB00198	NEU1
DB00198	NEU2
DB00199	MLNR
DB00199	KCNH2
DB00200	MTR
DB00200	MUT
DB00200	MMAA
DB00200	TCN1
DB00200	AMN
DB00200	CUBN
DB00200	MMACHC
DB00201	ADORA1
DB00201	ADORA2A
DB00201	ADORA2B
DB00201	ADORA3
DB00201	PDE1B
DB00201	PDE4D
DB00201	PDE3B
DB00201	PDE5A
DB00201	PDE4B
DB00201	RYR1
DB00201	PDE1A
DB00201	PDE1B
DB00201	PDE1C
DB00201	PDE10A
DB00201	PDE4A
DB00201	PDE4B
DB00201	PDE4C
DB00201	PDE4D
DB00201	PDE7B
DB00201	PDE2A
DB00201	PDE3A
DB00201	PDE3B
DB00201	PDE5A
DB00201	PDE6C
DB00201	PDE11A
DB00201	PDE7A
DB00201	PDE8A
DB00201	PDE8B
DB00201	PDE9A
DB00201	PDE6A
DB00201	PDE6B
DB00201	PRKDC
DB00201	PIK3CD
DB00201	PIK3CA
DB00201	PIK3CB
DB00201	ITPR1
DB00201	ITPR2
DB00201	ITPR3
DB00201	ATM
DB00202	CHRNA10
DB00202	CHRNA2
DB00202	CHRNA3
DB00202	CHRNA4
DB00202	CHRNA5
DB00202	CHRNA6
DB00202	CHRNA7
DB00202	CHRNA9
DB00202	CHRNB2
DB00202	CHRNB3
DB00202	CHRNB4
DB00202	CHRM2
DB00202	CHRM3
DB00203	PDE5A
DB00203	PDE6G
DB00203	PDE6H
DB00203	ODC1
DB00203	CD274
DB00204	KCNH2
DB00204	KCNK2
DB00204	KCNJ12
DB00205	DHFR
DB00205	HEXB
DB00206	SLC18A2
DB00206	SLC18A1
DB00206	BIRC5
DB00207	PADI4
DB00208	P2RY12
DB00209	CHRM3
DB00209	CHRM1
DB00210	RARB
DB00210	RARG
DB00210	RXRB
DB00210	RXRG
DB00210	RXRA
DB00210	JUN
DB00210	TLR2
DB00210	RARA
DB00210	GOT1
DB00211	ADRA1A
DB00211	ADRA1B
DB00211	ADRA1D
DB00212	REN
DB00213	ATP4A
DB00213	DDAH1
DB00214	SLC12A2
DB00214	SLC12A1
DB00215	SLC6A4
DB00215	HRH1
DB00216	HTR1D
DB00216	HTR1B
DB00216	HTR1F
DB00216	HTR1A
DB00217	KCNJ1
DB00217	ADRA2A
DB00217	ADRA2B
DB00217	ADRA2C
DB00217	ADRB1
